propertyName,zoneGuid,zoneName,rateHourly,rateDaily,rateEvening,rateFull,commuter,eveningsWeekends
1661 Portage Ave - Paid Daily + Monthly ,8E8709F8-7EDE-4988-A4B0-B3CD8E955EA6,1661 Portage Ave - Scramble with plug Paid,3,0,0,70,1,1
179 Langside Street,0E096A97-2EE7-4A3D-80BA-5AF71BCF987F,179 Langside Street - Uncovered,1,8,5,80,65,50
361 Langside St. ,2E1A9679-F559-4ADA-9BB7-A58BD07B8A87,361 Langside Street - Uncovered,1.5,7.5,6,138,120,80
1661 Portage Ave - Paid Daily + Monthly ,AAB9B8D5-4F86-48C4-8CDD-6537B6A660E5,1661 Portage Ave - Staff max Bulk pay,3,0,0,1060,1,1
30 Carlton Street,E5163A43-5634-4F8C-9462-E0B31F867A0A,30 Carlton Street - Uncovered,1,5,2,0,0,0
462 Hargrave St. ,F56FA943-B2C3-4549-B534-18BA8B38173D,462 Hargrave St. - Uncovered,1,5,3,1,75,1
Visitor Parking Only - 60 Osborne St. ,AE100A33-D6B4-4AC7-9846-95DAAE1A2D08,Visitor Parking - 60 Osborne St. ,0,0,0,0,0,0
130 Scott St.,CD0A4B1D-6703-4F83-BC24-1C620D7B2ADF,Standard Uncovered,2,20,10,199,129,99
24 Poulin Dr. ,C2FCF881-DDCB-4391-9425-21073E8EA5DB,24 Poulin Drive - Uncovered ,1,5,2,100,70,35
839 Panet Road,052FCA73-A834-4C9C-8D68-BAF1EDB66996,839 Panet Road - Guest Parking,1,0,5,0,0,0
207 Carlton St. - Monthly,E9BAA0EE-617F-486C-A97E-F9ACD9D1392A,207 Carlton St. - Secure Lot,3,15,15,1,160,100
590 University Crescent,5EA67107-AA24-4FA5-BF11-B3EFB8F3AD5F,590 University Crescent - Monthly,6.5,5,9,1,65,1
587 Broadway,DB3B8BAE-9B7C-4943-8069-62B571E6E16B,587 Broadway - Uncovered,1,5,2,0,0,0
482 Balmoral St. ,DA48A4B0-1279-47DA-878B-E7B8993F2162,482 Balmoral St. - Scramble Parking,1,5,4,120,100,70
1275/1295 Portage Ave,CDAEB416-2B90-4223-87CD-679B9EB8BE5B,1275/1295 Portage Ave - Uncovered,1,5,2,25,20,15
462 Hargrave St. ,0F3F278D-8A15-4125-806D-7EEE3A184F47,462 Hargrave St. - Donna 4,1,0,0,1,75,1
1689 Pembina Hwy,9156C333-CAD8-42E7-BCDB-09D601DF3CEF,1689 Pembina Hwy. - Uncovered,1,5,2,0,0,0
2295 Pembina Hwy.,0D568943-CEA9-4163-9776-FBFC6383B6B4,2295 Pembina Hwy - Zone 1,1,5,5,75,60,25
130 Osborne St. ,E42689AF-E9F7-4B68-AE38-91E40D32BAFB,130 Osborne St. - Uncovered,1,5,3,1,1,70
200 Burning Glass Rd.,28634B9C-BCDD-461A-999C-EFA97425D336,200 Burning Glass Rd. - Lot Management,3,0,0,0,0,0
172 Edmonton St. ,E24A22F7-7E99-42CA-ACE0-CC418EB227EA,172 Edmonton St. - Uncovered 24/7,3,14,12,230,200,130
807 Portage Ave,E5ACAF48-74E3-4A78-AF03-D14B142A01CA,807 Portage Avenue - Uncovered,1,1,2,1,1,30
800 Dovercourt,D31899DD-9BE6-4A5B-95D9-3BC3C09D19BC,800 Dovercourt - Uncovered,1,5,2,25,20,15
400 Tache Ave,BF1647CB-2093-41B0-868E-48D81924C62C,Green Zone - PARK AND PAY ,2,17.5,3,1,1,50
1777 St. Mary's Road,FA11B418-DF4E-460C-A52F-05A20D898E62,1777 St. Mary's Road - Lot Management,3,0,0,0,0,0
1697 Pembina Hwy,ECD02063-E279-47ED-8D50-4F43C53EC9D6,1697 Pembina Hwy - Uncovered,1,5,2,0,0,0
297 Goulet St.,12797EFD-FB69-4465-AAC0-5070FD62ADE3,297 Goulet St. - Scramble Parking,1.5,7,4,90,75,60
460 Portage Ave.,08ED5C57-21E5-4650-A456-3BD8651BDF4E,460 Portage Avenue - Uncovered,2,8,10,0,0,0
207 Carlton St. ,E83BD8C5-6F71-4D95-AF6C-F072E2EAC9A9,207 Carlton St. - Event Prebooking,1.5,18,17,0,0,0
172 Edmonton St. ,1A866EDD-4DBA-46A3-99FE-F750F1B884DE,172 Edmonton St. - Small Car Only,3,14,12,230,200,170
210 Pacific Ave.,BF94498E-EC33-42C4-BBEC-90C6FBE76EE6,210 Pacific Ave - Evening/Weekend,3,1,6,1,1,150
1030 Brazier St.,7F479D28-A2CA-4495-B6F7-E26E4B745237,1030 Brazier St. - Guest Parking,1,0,0,0,0,0
1699 Pembina Hwy,6086A2A0-3C1F-4742-B778-48FA6917CB44,1699 Pembina Hwy - Uncovered,1,5,2,0,0,0
339 Alexander Ave. ,48BDABF6-1561-4442-9F1D-C3AD35A95A75,339 Alexander Ave - Uncovered ,0,0,0,1,1,1
210 Pacific Ave.,E7BF9215-C036-413D-AA72-5E161F482864,210 Pacific Ave - Park Mobile Scramble,3,12,6,0,0,0
296 Stradbrook Ave,3D1FF4ED-DBB9-4EC4-A835-3D522F0A5DF9,296 Stradbrook Avenue - Uncovered,1,5,2,99,75,25
880 Alverstone St. ,E5550431-18E3-4827-BB63-BA32D08C6C1D,880 Alverstone Street - Standard Uncovered,1,5,2,65,50,40
308 Colony St.,C40B849D-BC27-45A8-9C9B-B179CDF601A4,308 Colony Street - Uncovered,2,8,10,110,90,50
1661 Portage Ave - Paid Daily + Monthly ,114BD5BC-F455-493B-9D15-90B256DDB620,1661 Portage Ave - Reserved A Paid,3,0,0,85,1,1
633 Lodge Ave,57F6E319-D279-4C8D-B575-4794BF9D4743,633 Lodge Avenue - Uncovered,1,6,3,0,0,0
465 Hamilton Ave.,3BFD984B-6575-4357-A4DD-5F509C04DE75,465 Hamilton Avenue - Guest Parking,1,0,0,0,0,0
1833 Pembina Highway,178D7AFE-5F8B-47CE-A391-3B7BC4ED6142,1833 Pembina Highway - Guest,1,5,2,50,35,25
304 Stradbrook Ave,AC7B8141-260F-435D-916C-DB2960B30087,304 Stradbrook Avenue - Uncovered,1,5,2,99,75,25
585 William Ave.,8A14CCFE-0FC0-4A81-B1FD-944CC5B83702,585 William Avenue - Uncovered,1,5,2,70,65,50
60 Edmonton Street,E01AF274-2058-4DB7-BEAD-30C3C022FB9B,60 Edmonton Street - Uncovered,1,5,2,0,0,0
462 Hargrave St. ,41F56AAB-9BE5-4A75-BCD8-20A01CE587EC,462 Hargrave St. - Sheryl + Jack 9,3,0,0,75,1,1
287 Young St. ,D99FA3B8-81C6-4A5B-B89D-FA83AC4C055F,287 Young Street - Uncovered,1,5,2,95,65,40
590 University Crescent,5EA67107-AA24-4FA5-BF11-B3EFB8F3AD5F,590 University Crescent - Monthly,1,5,9,1,65,1
400 Tache Ave,B7C951A9-B7B8-41DF-AC7C-7521C2D2445E,400 Tache Pharmacy Monthly Spots,3,0,0,150,1,1
516 Hargrave,0CAF9FE6-EA65-4BDF-893A-6DCCF068933F,516 Hargrave - Uncovered,1,1,4,0,0,0
424 Gertrude Ave.,3CE2B271-09CA-440C-9933-0D4ADB68EA20,424 Gertrude Avenue - Uncovered,2,8,6,105,80,40
839 Panet Road,052FCA73-A834-4C9C-8D68-BAF1EDB66996,839 Panet Road - Guest Parking,0,0,5,0,0,0
925 Chancellor Drive,CEE76AC6-B11A-40B2-BC22-2403DB588EF2,925 Chancellor Drive - Standard Uncovered,1,5,2,0,0,0
1833 Pembina Highway,ECF4381C-794D-4793-86B4-1428265D07E5,1833 Pembina Highway - Uncovered,1,5,2,50,35,25
462 Hargrave St. ,499D3017-4F3E-4DCE-9D0B-516A6C840996,462 Hargrave St. - Cheryl 7,3,0,0,1,75,1
