propertyName,zoneGuid,zoneName,rateHourly,rateDaily,rateEvening,rateFull,commuter,eveningsWeekends
800 Corydon,3988CF03-9581-42D4-B8E5-C4418067DE8D,800 Corydon - Uncovered,1,5,2,0,0,0
66 Killarney Avenue,733E322E-D56A-4C04-83F5-BD7E89AFD373,66 Killarney Avenue - Guest Parking,1,0,0,0,0,0
1661 Portage Ave - Paid Daily + Monthly ,620FA094-27D2-4247-9A46-A160F8EFCF72,1661 Portage Ave - Hub International Bulk pay,3,0,0,7870,1,1
277 River Avenue,E644B6C5-6C7E-483A-8303-ECB6AD126E44,277 River Avenue - Uncovered,1,5,2,0,0,0
275 Stradbrook Ave,9786E741-65EE-43E9-9A1C-938BD6083BD0,275 Stradbrook Avenue | Uncovered - Pre-booking,1,5,2,80,60,50
491 Stradbrook Avenue,BF3D4933-BE9A-4FB1-A85C-ADEB47BABF1F,491 Stradbrook Avenue - Uncovered,1,5,2,99,75,25
201 Thomas Berry St. ,EB79F0E4-D984-4F73-9B60-FA65D12C3F9F,201 Thomas Berry St. - Uncovered,3,12,7,150,100,50
50 Hargrave,ACE1B67D-DF7E-4BCF-99CF-E70A36A6392F,50 Hargrave - Uncovered,1,5,2,0,0,0
691 Sherbrook St. ,9F9A5AB3-0DED-486A-90D1-C742B19A0137,691 Sherbrook Street - Uncovered,1,5,2,0,0,0
133 Matheson Ave East,7F6FE858-1EC2-4649-A706-D80EFF22F10F,133 Matheson Ave East - Uncovered,1,5,2,0,0,0
282 Furby St.,4D876A67-6820-41DF-9A37-76C2B50F1542,282 Furby Street - Uncovered,1,5,2,80,60,45
438 Aulneau Street ,A4C11979-F7CC-4967-8698-9DF7BEF7D714,438 Aulneau Street - Uncovered,1,5,2,0,0,0
303 Stradbrook Ave,9B18FD19-2EFD-4CFE-81E1-395FEBF2C6D5,303 Stradbrook Avenue - Uncovered,1,5,2,0,0,0
275 Nassau Street ,FA8D7164-32C3-4A41-B400-D581ABE830CC,275 Nassau Street - Uncovered,1,5,2,50,35,35
30 University Crescent,1D96AA3D-66C4-4D2E-9FBA-4E005C33D85D,30 University Crescent- Scramble Parking,1,2,9,0,0,0
462 Hargrave St. ,FB6129EF-1693-4295-814D-38906AB9749B,462 Hargrave St. - Gloria 11,3,0,0,1,60,1
1695 Pembina Hwy,3FE30EDE-9385-4EE2-96B6-7637D57C0E29,1695 Pembina Hwy. - Uncovered,1,5,2,0,0,0
1661 Portage Ave - Paid Daily + Monthly ,17228CE2-28A6-4616-A099-0A58B3483158,1661 Portage Ave - North Co Management Bulk pay,3,0,0,605,1,1
291 Stradbrook Ave,9A23F2C8-4EDF-49BC-A336-84F4A1AF1B24,291 Stradbrook Avenue - Uncovered,1,5,2,0,0,0
2350 McGillivray Blvd.,FC6518F6-3DE4-4271-9E29-2A32D7E38F5D,The Ridge Apartments - Visitor Parking,0,0,5,1,1,1
555 Broadway,B5EC6428-CC8D-47B8-9D6C-723FB18C0788,555 Broadway - Uncovered,1,5,2,125,100,75
118 Sherbrook St. ,28FC0BB1-A06C-4E7C-A7EF-593EB50054DC,118 Sherbrook St. - Uncovered,3,1,1,1,1,1
462 Hargrave St. ,C5AD1228-75E3-4D60-B39E-ACE95604A0B1,462 Hargrave St. - Ronnie 8,3,0,0,1,75,1
366 Young St. ,29EA37D8-D21B-4FEE-8C14-A5E3070BAEDE,366 Young St. - Assigned Stalls,1.5,7.5,6,138,110,80
280 Garry St. ,99A6BFCE-33C3-482A-84DD-CB4BFD0247DE,280 Garry Street - Pre-book,4,12,12,200,170,120
1661 Portage Ave - Paid Daily + Monthly ,4AC13A9B-8282-4DD3-9796-B492C479D818,1661 Portage Ave - Doheny Securities Bulk pay,3,0,0,680,1,1
785 Keewatin St.,DF7F7888-0247-4F3E-A5BE-D4F133F03D72,785 Keewatin Street - Uncovered,1,5,2,25,20,15
767 Beverley St. ,031E1B74-BC10-4FA9-B091-9192B11544F1,767 Beverley Street - Uncovered,1,5,2,80,65,40
1661 Portage - Visitor - Free 2 Hour Max ,80CEA3E9-0D7F-4905-A0C1-2C7AAB186FD8,1661 Portage - Visitor Free 2 Hour Max,0,0,0,0,0,0
33 Southpark Drive,59E5D167-DBD4-46A7-9950-C909B8B04E73,33 Southpark Drive - Guest Parking,1,0,0,0,0,0
548 Main St. ,7CC10840-E754-4178-B2F5-A58879375DEC,548 Main St. - Uncovered,3,12,12,0,0,0
401 Stradbrook Ave,61A5363E-2BCE-4CC3-943D-4F41DFC28D86,401 Stradbrook Ave - Uncovered,1,5,2,0,0,0
1661 Portage Ave - Paid Daily + Monthly ,09E747A2-DA59-44DE-A669-02027E79EB90,1661 Portage Ave - CCGA Bulk pay,3,0,0,1175,1,1
Development 123,378D35CF-14E4-4A1E-9C6A-F910392548F6,Development 123 - lot management ,0,0,0,0,0,0
37 Edmonton St.,5B646F69-07A4-4DBB-A32A-67F004531099,37 Edmonton Street - Uncovered,1,1,5,0,0,0
