address,postalCode,latitude,longitude,lowestMonthlyRate,coveredParking,busNearby,distanceFromCenter,usage,rangePointFive,rangeOnePointZero,rangeOnePointFive,rangeTwoPointZero,hourlyRate
520 Ellice Ave,R3B 1Z2,49.89270946,-97.15546525,182.8192105,0,1,1.246878835,1,52.37560793,50.39125941,50.91235102,51.29794305,3
520 Ellice Avenue,R3B 1Z2,49.8926557,-97.1552319,110,0,0,1.231838673,1,52.34549516,50.46756283,50.92755726,51.2931415,3
280 Fort Street,R3C 1E5,49.893565,-97.139029,264,0,0,0.173149693,0,52.27765727,50.44172129,50.89984748,51.28405344,2
409 Balmoral Street,R3B 2R3,49.8924896,-97.1522256,182.8192105,0,0,1.027798391,1,52.29226361,50.50533408,50.90836494,51.27964511,4
266 Smith Street,R3C 1K1,49.8928767,-97.1416036,225.5,0,0,0.332953087,0,52.39916551,50.47292666,50.88682019,51.26699111,4
120 Pioneer Avenue,R3C 0J2,49.893674,-97.1349618,225.5,0,0,0.294629541,1,52.29609321,50.43630017,50.84696824,51.25092891,4
170 William Stephenson Way,R3C 0J2,49.8934405,-97.1358243,165,0,0,0.261754965,0,52.22822417,50.39432177,50.80851064,51.23537061,3
265 Smith Street,R3C1K9,49.8925407,-97.1413929,225.5,0,0,0.352060848,0,52.26675427,50.35998971,50.78981602,51.224,4
266 Hargrave Street,R3C 1N6,49.892276,-97.144361,200,0,0,0.525575762,0,52.38858609,50.34621679,50.7852447,51.21298047,4
240 GRAHAM AVENUE,R3C 0J7,49.8927085,-97.1390798,182.8192105,0,1,0.267189146,0,52.27059192,50.32679739,50.76315317,51.20626794,5
251 Donald Street,R3C 3P5,49.8920339,-97.1425145,182.8192105,0,0,0.446348285,0,52.27064919,50.32016431,50.74613687,51.1958432,4
225 Fort Street,R3C 1E2,49.89241233,-97.13800371,220,0,0,0.298025122,1,52.19206681,50.31998104,50.71670576,51.18590468,4
370 Colony Street,R3B 2P3,49.891355,-97.1511842,200,0,1,1.001624904,1,52.24321133,50.37391914,50.72277821,51.18349781,3.5
491 Portage Avenue,R3B 2E4,49.8911589,-97.1521521,155,0,0,1.073810976,0,52.29465069,50.39251905,50.73746313,51.18115995,3
336 Young Street,R3B 2S4,49.8909894,-97.1551188,145,0,0,1.277562042,0,52.29784759,50.42343786,50.74837851,51.1790582,3.5
219 Main Street,R3C 1A7,49.89208102,-97.13609554,182.8192105,0,0,0.373430035,0,52.06540448,50.4048583,50.71656703,51.16295611,3
208 Fort Street,R3C 1E4,49.8914849,-97.13792,155,0,0,0.401230361,1,51.86125212,50.39787798,50.68968299,51.15071569,4
215 Hargrave Street,R3C 1N6,49.890812,-97.143305,225,0,0,0.588057838,1,51.81189488,50.39643749,50.6675143,51.14202658,5
350 YOUNG STREET,R3B 2R6,49.8903163,-97.1551685,165,0,1,1.309327406,0,51.81718062,50.42596786,50.66708523,51.14055457,4
240 Kennedy Street,R3C 3T1,49.8904522,-97.1476699,190,1,0,0.836999579,1,51.83374083,50.42480884,50.65769112,51.13222806,5
320 Colony Street,R3C 0E8,49.89024805,-97.15168996,165,0,0,1.089821428,0,51.88577586,50.45139618,50.66045659,51.13077025,3
211 Main Street,R3C 1A7,49.89158,-97.1357699,200,0,1,0.43369192,0,51.67464115,50.4338843,50.63243487,51.11651123,2
235 Edmonton Street,R3C 1P7,49.89046379,-97.14587536,210,1,0,0.738907245,1,51.61036921,50.43230597,50.62003416,51.1088056,4
233 Vaughan Street,R3C 1T1,49.8902075,-97.1489337,182.8192105,0,0,0.925777266,0,51.68568465,50.45162585,50.61185609,51.10129338,4
233 KENNEDY STREET,R3C 1T1,49.8902816,-97.1472532,175,0,0,0.825776163,1,51.65003837,50.45018304,50.60023141,51.09396737,4
207 Donald Street,R3C 1M5,49.8906709,-97.1416824,182.8192105,1,0,0.54186636,1,51.50678051,50.43825477,50.57791096,51.09001187,2
350 St Mary Avenue,R3C 3J2,49.890138,-97.144015,258.5,0,0,0.678580868,1,51.49493452,50.44612875,50.56330094,51.08615157,6
170 Fort Street,R3C 1C9,49.8907378,-97.1375166,175,0,0,0.48711767,1,51.32764921,50.45385779,50.53860588,51.07641642,4
190 Edmonton Street,R3C 3J2,49.8898359,-97.1458864,220,0,0,0.789514186,1,51.25,50.45246758,50.52508751,51.0697282,0.04
